S No.,Year,State,Industry,num_of_s,Last Update
1,2022,Andaman and Nicobar Islands,Agriculture,1,25-09-2022 04:00:02
2,2022,Andaman and Nicobar Islands,AR VR (Augmented + Virtual Reality),1,25-09-2022 04:00:02
3,2022,Andaman and Nicobar Islands,Construction,1,25-09-2022 04:00:02
4,2022,Andaman and Nicobar Islands,Internet of Things,1,25-09-2022 04:00:02
5,2022,Andaman and Nicobar Islands,Marketing,1,25-09-2022 04:00:02
6,2022,Andaman and Nicobar Islands,Other Specialty Retailers,1,25-09-2022 04:00:02
7,2022,Andaman and Nicobar Islands,Transportation & Storage,1,25-09-2022 04:00:02
8,2022,Andaman and Nicobar Islands,Travel & Tourism,2,25-09-2022 04:00:02
9,2022,Andhra Pradesh,Advertising,2,25-09-2022 04:00:02
10,2022,Andhra Pradesh,Aeronautics Aerospace & Defence,5,25-09-2022 04:00:02
11,2022,Andhra Pradesh,Agriculture,21,25-09-2022 04:00:02
12,2022,Andhra Pradesh,AI,3,25-09-2022 04:00:02
13,2022,Andhra Pradesh,Analytics,1,25-09-2022 04:00:02
14,2022,Andhra Pradesh,Automotive,12,25-09-2022 04:00:02
15,2022,Andhra Pradesh,Biotechnology,2,25-09-2022 04:00:02
16,2022,Andhra Pradesh,Construction,18,25-09-2022 04:00:02
17,2022,Andhra Pradesh,Education,20,25-09-2022 04:00:02
18,2022,Andhra Pradesh,Enterprise Software,3,25-09-2022 04:00:02
19,2022,Andhra Pradesh,Fashion,2,25-09-2022 04:00:02
20,2022,Andhra Pradesh,Finance Technology,8,25-09-2022 04:00:02
21,2022,Andhra Pradesh,Food & Beverages,15,25-09-2022 04:00:02
22,2022,Andhra Pradesh,Green Technology,9,25-09-2022 04:00:02
23,2022,Andhra Pradesh,Healthcare & Lifesciences,12,25-09-2022 04:00:02
24,2022,Andhra Pradesh,Human Resources,5,25-09-2022 04:00:02
25,2022,Andhra Pradesh,Indic Language Startups,1,25-09-2022 04:00:02
26,2022,Andhra Pradesh,Internet of Things,3,25-09-2022 04:00:02
27,2022,Andhra Pradesh,IT Services,40,25-09-2022 04:00:02
28,2022,Andhra Pradesh,Logistics,3,25-09-2022 04:00:02
